FROM_DISPATCH_DATE,FROM_DISPATCH_PERIOD,TO_DISPATCH_DATE,TO_DISPATCH_PERIOD,CONDITION_DESCRIPTION
02-Jan-15,23,02-Jan-15,23,Outage of Paya Lebar I/Kaki Bukit 66kV Feeder No. 1 on 02 Jan 2015 at 1113Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
06-Jan-15,39,06-Jan-15,41,Fuel changeover test of Generating Unit SNKCCP4 was carried out and completed on 06 Jan 2015 at the following timing. Gas to Gas : From 1905Hrs - 1910Hrs. Gas to Gas : From 2005Hrs - 2010Hrs.
06-Jan-15,39,06-Jan-15,41,Fuel changeover test of Generating Unit SNKCCP4 is anticipated to carry out on 06 Jan 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
07-Jan-15,39,07-Jan-15,40,Fuel changeover test of Generating Unit SER CCP3 is anticipated to carry out on 07 Jan 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
07-Jan-15,39,07-Jan-15,41,Fuel changeover test of Generating Unit SER CCP3 was carried out and completed on  07 Jan 2015 at the following timing. Gas to Gas : From 1908Hrs - 1913Hrs. Gas to Gas : From 1956Hrs - 2001Hrs.
08-Jan-15,17,08-Jan-15,17,Forced outage of generating unit ENV : TUAS : GENR1 at 0.4MW on 08 Jan 2015 at 08:22Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
08-Jan-15,17,08-Jan-15,17,Forced outage of generating unit ENV : TUAS : GENR1 at 0.3MW on 08 Jan 2015 at 08:19Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
08-Jan-15,33,12-Jan-15,48,Due to Outage of Jurong Island - Tembusu 230kV Feeder 1, the security limit of 750MW shall be applied on the affected feeders at Tembusu 230kV Substation.
10-Jan-15,42,30-Jun-15,48,In view of the excess generation expected and to prevent severe overloading, the security limit of 1150MW shall be applied on the affected feeders at Tembusu 230kV substation.
12-Jan-15,12,12-Jan-15,12,Forced outage of generating unit SNKCCP3 - CCPGT 3 at 25MW on 12 Jan 2015 at 05:35Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
13-Jan-15,29,13-Jan-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 13 Jan 2015 from 1404Hrs to 1505Hrs.
13-Jan-15,29,13-Jan-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 13 Jan 2015 from 1410Hrs to 1510Hrs.
13-Jan-15,34,13-Jan-15,34,Forced outage of generating unit SHUL G1 at 6MW on 13 Jan 2015 at 16:47Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
13-Jan-15,39,13-Jan-15,41,Fuel changeover test of Generating Unit SNKCCP6 is anticipated to carry out on 13 Jan 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
13-Jan-15,39,13-Jan-15,41,Fuel changeover test of Generating Unit SNKCCP6 was carried out and completed on 13 Jan 2015 at the following timing. Gas to Gas : From 1901Hrs - 1910Hrs. Gas to Gas : From 2011Hrs - 2019Hrs.
14-Jan-15,46,14-Jan-15,46,Forced outage of generating unit SHUL G1 at 35MW on 14 Jan 2015 at 22:55Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
15-Jan-15,32,15-Jan-15,34,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 is anticipated to carry out on 15 Jan 2015 from 1540Hrs to 1640Hrs.
15-Jan-15,32,15-Jan-15,34,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 was carried out on 15 Jan 2015 from 1532Hrs to 1638Hrs.

16-Jan-15,18,16-Jan-15,48,Outage of Woodland Ave 8 230/66kV transformer No. 3 on 16 Jan 2015 at 0858Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
16-Jan-15,41,16-Jan-15,43,Fuel changeover test of Generating Unit SNKCCP7 was carried out and completed on 16 Jan 2015 at the following timing. Gas to Gas : From 2005Hrs - 2013Hrs. Gas to Gas : From 2105Hrs - 2113Hrs.
16-Jan-15,41,16-Jan-15,43,Fuel changeover test of Generating Unit SNKCCP7 is anticipated to carry out on 16 Jan 2015 at the following timing. Gas to Gas : At about 2001Hrs. Gas to Gas : At about 2101Hrs.
17-Jan-15,39,17-Jan-15,39,High-Risk state commence at 19:01Hrs on 17 Jan 2015. There is a Contingency Reserve Shortfall.


17-Jan-15,40,17-Jan-15,40,Emergency State commence at 19:31Hrs on 17 Jan 2015.  There is a Contingency Reserve Shortfall.


17-Jan-15,42,17-Jan-15,42,Outage of Telok Blangah 66/22kV transformer No. 1 on 17 Jan 2015 at 2053Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)

17-Jan-15,44,17-Jan-15,44,Normal operating State

18-Jan-15,8,18-Jan-15,8,Activate scheduled contingency reserve from Load Facilities. Must deliver within 10 Minutes.
18-Jan-15,8,18-Jan-15,8,Forced outage of generating unit KMCBLK3 at 265MW on 18 Jan 2015 at 03:37Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
18-Jan-15,9,18-Jan-15,9,Load interrupted can be restored with immediate effect.

18-Jan-15,23,18-Jan-15,23,Forced outage of generating unit KMCBLK3 at 209MW on 18 Jan 2015 at 11:07Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
18-Jan-15,24,18-Jan-15,24,High-Risk state commence at 11:31Hrs on 18 Jan 2015. There is an Contingency Reserve shortfall.
18-Jan-15,25,18-Jan-15,25,Emergency operating state commence at 12:01Hrs on 18 Jan 2015. There is  Contingency Reserve shortfall.
18-Jan-15,33,18-Jan-15,33,Normal operating State
19-Jan-15,23,20-Feb-15,48,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
21-Jan-15,8,21-Jan-15,8,Forced outage of Paya Lebar ll/Changi Airport 66kV Feeder No. 2 on 21 Jan 2015 at 0340Hrs.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of the Forced Outage.)
23-Jan-15,40,23-Jan-15,40,Forced outage of generating unit SERCCP1 at 280MW on 23 Jan 2015 at 19:31Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
24-Jan-15,23,24-Jan-15,48,Outage of Generating Unit SER CCP1 on 24 Jan 2015 at 1101Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
24-Jan-15,38,24-Jan-15,38,Forced outage of generating unit INC : SNKO : GENR 1 at 3MW on 24 Jan 2015 at 18:46Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
25-Jan-15,1,25-Jan-15,48,Outage of Generating Unit SER CCP1 on 25 Jan 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)

25-Jan-15,4,31-Jan-15,47,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)

26-Jan-15,8,02-Feb-15,48,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)

29-Jan-15,18,29-Jan-15,18,Forced outage of generating unit SEMBCCP3 at 215MW on 29 Jan 2015 at 08:40Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
29-Jan-15,21,29-Jan-15,21,Forced outage of generating unit SEMBCCP3 at 26MW on 29 Jan 2015 at 10:26Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
29-Jan-15,39,29-Jan-15,40,Fuel changeover test of Generating Unit SER CCP4 is anticipated to carry out on 29 Jan 2015 at the following timing. 
Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
29-Jan-15,39,29-Jan-15,40,Fuel changeover test of Generating Unit SER CCP4 was carried out and completed on 29 Jan 2015 at the following timing. 
Gas to Gas : From 1905Hrs - 1909Hrs. Gas to Gas : From 1955Hrs - 2000Hrs.
30-Jan-15,29,13-Feb-15,48,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
31-Jan-15,35,01-Feb-15,48,Outage of Generating Unit SKRA G1-GT11 on 31 Jan 2015 at 1727Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
01-Feb-15,18,03-Feb-15,35,Planned outage of remaining SPPG-TNB interconnection on 01 Feb 2015 at 0837Hrs.
02-Feb-15,24,06-Feb-15,48,Outage of Generating Unit SER CCP3 on 02 Feb 2015 at 1131Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
02-Feb-15,28,02-Feb-15,28,High-Risk state commence at 13:31Hrs on 02 Feb 2015. There is Primary Reserve Shortfall.
02-Feb-15,29,02-Feb-15,29,Emergency Operating State commence at 14:01Hrs on 02 Feb 2015. There is Primary Reserve Shortfall.
02-Feb-15,30,03-Feb-15,5,Outage of Generating Unit KMC BLK3 on 02 Feb 2015 at 1431Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
02-Feb-15,32,02-Feb-15,32,Normal operating State
03-Feb-15,9,03-Feb-15,48,Outage of Woodlands Ave 8 I 230/66kV transformer No. 3 on 03 Feb 2015 at 0428Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
03-Feb-15,28,03-Feb-15,28,High-Risk Operating State commence at 13:31Hrs on 03 Feb 2015. There is Primary Reserve Shortfall.
03-Feb-15,29,03-Feb-15,29,Emergency Operating State commence at 14:01Hrs on 03 Feb 2015. There is Primary Reserve Shortfall.
03-Feb-15,30,03-Feb-15,30,Normal operating State
03-Feb-15,36,04-Feb-15,16,Planned outage of the remaining SPPG-TNB interconnector No.2 on 03 Feb 2015 at 1731Hrs.
04-Feb-15,17,04-Feb-15,34,Planned outage of remaining SPPG-TNB interconnection No.2 on 04 Feb 2015 at 0801Hrs.
04-Feb-15,19,04-Feb-15,19,SPPG-TNB interconnection No.2 resynchronised on 04 Feb 2015 at 0907Hrs.
04-Feb-15,46,05-Feb-15,47,Outage of Generating Unit INC SNK GENR1 on 04 Feb 2014 at 2245Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
05-Feb-15,39,05-Feb-15,40,Fuel changeover test of Generating Unit SER CCP1 was carried out and completed on 05 Feb 2015 at the following timing. Gas to Gas : From 1905Hrs - 1911Hrs. Gas to Gas : From 1955Hrs - 2000Hrs.
05-Feb-15,39,05-Feb-15,40,Fuel changeover test of Generating Unit SER CCP1 is anticipated to carry out on 05 Feb 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
05-Feb-15,43,05-Feb-15,43,Outage of Senoko C/Tampines 230kV Feeder No. 1 on 05 Feb 2015 at 2107Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
05-Feb-15,48,12-Feb-15,47,Outage of Generating Unit INC SNKO GENR1 on 05 Feb 2015 at 2331Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
06-Feb-15,7,06-Feb-15,7,Forced outage of generating unit SHUL G1 at 47MW on 06 Feb 2015 at 03:09Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
06-Feb-15,37,06-Feb-15,38,Fuel changeover test of Generating Unit KMC G2-GT12 was carried out and completed on 06 Feb 2015 at the following timing. Gas to Diesel : From 1806Hrs - 1809Hrs. Diesel to Gas : From 1845Hrs - 1849Hrs.
06-Feb-15,37,06-Feb-15,38,Fuel changeover test of Generating Unit KMC G2-GT12 is anticipated to carry out on 06 Feb 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
07-Feb-15,7,13-Feb-15,8,Outage of Generating Unit SHUL G1 on 07 Feb 2015 at 0301Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
