Date,Temp Forecast (C) ,Day of Week,Holiday,Peak,Shoulder,Off Peak
1/1/2015,23.84,Thursday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/1/2015,23.68,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/1/2015,23.75,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
4/1/2015,23.83,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
5/1/2015,24.1,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/1/2015,24.77,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/1/2015,24.54,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/1/2015,24.24,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/1/2015,23.65,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/1/2015,24.08,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
11/1/2015,24.4,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
12/1/2015,24.6,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/1/2015,24.11,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/1/2015,24.45,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/1/2015,24.05,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/1/2015,23.31,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/1/2015,22.92,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
18/1/2015,23.07,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
19/1/2015,23.26,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/1/2015,23.39,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/1/2015,23.91,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/1/2015,23.48,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/1/2015,23.3,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/1/2015,23.59,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
25/1/2015,23.52,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
26/1/2015,23.53,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/1/2015,23.5,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/1/2015,23.7,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/1/2015,24.12,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/1/2015,24.48,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/1/2015,23.85,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
1/2/2015,22.45,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
2/2/2015,23.38,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/2/2015,23.21,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/2/2015,23.68,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/2/2015,23.94,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/2/2015,23.79,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/2/2015,23.39,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
8/2/2015,23.4,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
9/2/2015,23.29,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/2/2015,22.78,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/2/2015,22.5,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/2/2015,22.63,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/2/2015,22.94,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/2/2015,23.17,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
15/2/2015,23.68,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
16/2/2015,23.96,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/2/2015,24,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/2/2015,24.36,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/2/2015,23.75,Thursday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/2/2015,23.96,Friday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/2/2015,23.94,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
22/2/2015,23.99,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
23/2/2015,24.27,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/2/2015,24.13,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/2/2015,24.3,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/2/2015,24.14,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/2/2015,24.11,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/2/2015,24.57,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
1/3/2015,24.83,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
2/3/2015,24.48,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/3/2015,24.94,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/3/2015,24.59,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/3/2015,24.22,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/3/2015,24.02,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/3/2015,24.14,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
8/3/2015,24.78,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
9/3/2015,24.93,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/3/2015,24.61,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/3/2015,24.31,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/3/2015,24.2,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/3/2015,23.58,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/3/2015,24.27,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
15/3/2015,24.48,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
16/3/2015,24.88,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/3/2015,24.97,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/3/2015,24.9,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/3/2015,25.19,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/3/2015,25.13,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/3/2015,25.22,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
22/3/2015,24.6,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
23/3/2015,24.89,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/3/2015,24.56,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/3/2015,24.69,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/3/2015,25.09,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/3/2015,25.23,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/3/2015,25.57,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
29/3/2015,25.26,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
30/3/2015,25.47,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/3/2015,25.73,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/4/2015,25.18,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/4/2015,24.98,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/4/2015,25.17,Friday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/4/2015,26,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
5/4/2015,25.65,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
6/4/2015,25.75,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/4/2015,25.8,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/4/2015,25.85,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/4/2015,25.6,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/4/2015,25.5,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/4/2015,25.33,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
12/4/2015,25.38,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
13/4/2015,25.48,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/4/2015,25.15,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/4/2015,25.18,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/4/2015,25.08,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/4/2015,25.38,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/4/2015,25.56,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
19/4/2015,25.18,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
20/4/2015,25.3,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/4/2015,25.1,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/4/2015,25.15,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/4/2015,25.44,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/4/2015,25.02,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/4/2015,25.06,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
26/4/2015,25.33,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
27/4/2015,25.13,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/4/2015,25.39,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/4/2015,25.84,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/4/2015,25.24,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/5/2015,25.15,Friday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/5/2015,25.39,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
3/5/2015,24.96,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
4/5/2015,25.08,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/5/2015,25.69,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/5/2015,25.81,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/5/2015,26.33,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/5/2015,26.13,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/5/2015,25.49,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
10/5/2015,26.1,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
11/5/2015,26.23,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/5/2015,26.13,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/5/2015,26.19,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
