TRADING_DATE,PERIOD,REQUIREMENT,PRICE
01-Jan-15,1,589.781,10.93
01-Jan-15,2,584.77,10
01-Jan-15,3,552.443,9.87
01-Jan-15,4,552.443,9.56
01-Jan-15,5,546.273,6.59
01-Jan-15,6,510,3
01-Jan-15,7,510,3
01-Jan-15,8,485.156,3
01-Jan-15,9,467.532,2.66
01-Jan-15,10,460.367,2.58
01-Jan-15,11,461.779,2.58
01-Jan-15,12,472.303,2.61
01-Jan-15,13,496.802,3
01-Jan-15,14,510,3
01-Jan-15,15,510,3
01-Jan-15,16,518.014,3.75
01-Jan-15,17,558.286,11.82
01-Jan-15,18,604.77,18.66
01-Jan-15,19,603,38.66
01-Jan-15,20,605.805,48.66
01-Jan-15,21,574.507,4.88
01-Jan-15,22,600,11.85
01-Jan-15,23,600,12.06
01-Jan-15,24,599.238,7.75
01-Jan-15,25,600,8.24
01-Jan-15,26,600,8.24
01-Jan-15,27,600,8.24
01-Jan-15,28,600,8.64
01-Jan-15,29,600,8.91
01-Jan-15,30,600,8.64
01-Jan-15,31,600,16.49
01-Jan-15,32,600,13.3
01-Jan-15,33,600,9.81
01-Jan-15,34,600,9.11
01-Jan-15,35,600,9.89
01-Jan-15,36,607.5,48.2
01-Jan-15,37,607.5,38.66
01-Jan-15,38,607.5,48.88
01-Jan-15,39,607.5,48.88
01-Jan-15,40,607.5,48.88
01-Jan-15,41,609.105,48.66
01-Jan-15,42,609.428,48.66
01-Jan-15,43,608.243,48.2
01-Jan-15,44,607.5,18.88
01-Jan-15,45,607.5,18.66
01-Jan-15,46,599.291,5.34
01-Jan-15,47,585,4
01-Jan-15,48,585,4
02-Jan-15,1,585,8.24
02-Jan-15,2,566.9,5.35
02-Jan-15,3,559.9,5.57
02-Jan-15,4,526.372,5.34
02-Jan-15,5,517.5,4
02-Jan-15,6,500.945,4
02-Jan-15,7,472.5,4.82
02-Jan-15,8,466.5,4.11
02-Jan-15,9,465,4
02-Jan-15,10,451.5,4
02-Jan-15,11,462,4
02-Jan-15,12,462,4
02-Jan-15,13,468,2
02-Jan-15,14,499.862,2.67
02-Jan-15,15,546,0.67
02-Jan-15,16,585,2
02-Jan-15,17,607.5,18.66
02-Jan-15,18,630,2
02-Jan-15,19,630,2
02-Jan-15,20,630,2
02-Jan-15,21,630,2
02-Jan-15,22,630,2
02-Jan-15,23,630,2
02-Jan-15,24,630,2
02-Jan-15,25,630,2
02-Jan-15,26,620.11,2
02-Jan-15,27,623.727,2
02-Jan-15,28,621.739,2
02-Jan-15,29,628.5,0.55
02-Jan-15,30,623.1,0.55
02-Jan-15,31,623.1,0.55
02-Jan-15,32,623.1,0.55
02-Jan-15,33,622,0.55
02-Jan-15,34,617.028,0.35
02-Jan-15,35,619.318,0.35
02-Jan-15,36,613.249,0.35
02-Jan-15,37,610.49,0.35
02-Jan-15,38,616.109,0.35
02-Jan-15,39,605.531,0.35
02-Jan-15,40,573.554,0.05
02-Jan-15,41,585.5,0.28
02-Jan-15,42,600,0.35
02-Jan-15,43,605.141,1.11
02-Jan-15,44,600,0.55
02-Jan-15,45,630,2
02-Jan-15,46,630,2
02-Jan-15,47,604.587,2
02-Jan-15,48,566.483,0.55
03-Jan-15,1,510,1.28
03-Jan-15,2,510,1.8
03-Jan-15,3,495,1.8
03-Jan-15,4,495,1.28
03-Jan-15,5,500.885,1.8
03-Jan-15,6,487.787,1.28
03-Jan-15,7,484.1,0.41
03-Jan-15,8,484.1,0.41
03-Jan-15,9,484.085,0.36
03-Jan-15,10,477.602,0.54
03-Jan-15,11,481.641,1.11
03-Jan-15,12,501.729,1.8
03-Jan-15,13,510,2
03-Jan-15,14,510,3
03-Jan-15,15,535.5,4.98
03-Jan-15,16,591.34,14.68
03-Jan-15,17,620.812,4.82
03-Jan-15,18,625.828,8.24
03-Jan-15,19,630,18.88
03-Jan-15,20,630,48.2
03-Jan-15,21,630,48.88
03-Jan-15,22,630,48.88
03-Jan-15,23,630,48.88
03-Jan-15,24,630,48.88
03-Jan-15,25,630,40.88
03-Jan-15,26,630,31.1
03-Jan-15,27,630,39.53
03-Jan-15,28,630,29.22
03-Jan-15,29,630,20.88
03-Jan-15,30,630,18.25
03-Jan-15,31,630,17.3
03-Jan-15,32,628.5,10.99
03-Jan-15,33,628.483,7.99
03-Jan-15,34,627.749,7.92
03-Jan-15,35,627.035,5.55
03-Jan-15,36,626.467,5.25
03-Jan-15,37,628.477,5.06
03-Jan-15,38,628.5,8.24
03-Jan-15,39,630,18.88
03-Jan-15,40,630,18.88
03-Jan-15,41,630,18.25
03-Jan-15,42,629.809,11.12
03-Jan-15,43,628.5,7.25
03-Jan-15,44,628.477,5
03-Jan-15,45,622.723,4
03-Jan-15,46,619.705,4
03-Jan-15,47,615.173,4
03-Jan-15,48,540,3.24
04-Jan-15,1,525,2
04-Jan-15,2,514.898,2
04-Jan-15,3,525,2
04-Jan-15,4,502.2,1.86
04-Jan-15,5,493.5,1.28
04-Jan-15,6,504.259,1.28
04-Jan-15,7,493.5,1.11
04-Jan-15,8,492.92,0.96
04-Jan-15,9,492.543,0.96
04-Jan-15,10,492.43,0.96
04-Jan-15,11,492.926,0.96
04-Jan-15,12,507.678,1.28
04-Jan-15,13,510.4,1.34
04-Jan-15,14,511.4,1.34
04-Jan-15,15,498,2
04-Jan-15,16,525,2
04-Jan-15,17,525,2
04-Jan-15,18,525,2
04-Jan-15,19,528.17,3.34
04-Jan-15,20,540,3.24
04-Jan-15,21,628.5,4
04-Jan-15,22,628.5,4
04-Jan-15,23,630,4
04-Jan-15,24,630,4
04-Jan-15,25,630,4
04-Jan-15,26,630,4
04-Jan-15,27,630,4
04-Jan-15,28,630,4
04-Jan-15,29,630,4
04-Jan-15,30,630,4
04-Jan-15,31,627,4
