TRADING_DATE,PERIOD,DEMAND,USEP
01/Jan/15,1,4498.58,90.46
01/Jan/15,2,4452.31,89.45
01/Jan/15,3,4409.886,89.24
01/Jan/15,4,4373.47,88.88
01/Jan/15,5,4334.386,84.84
01/Jan/15,6,4274.687,79.12
01/Jan/15,7,4222.164,76.99
01/Jan/15,8,4187.433,76.06
01/Jan/15,9,4159.184,75.63
01/Jan/15,10,4149.15,75.54
01/Jan/15,11,4153.404,75.54
01/Jan/15,12,4185.768,75.57
01/Jan/15,13,4235.881,76.07
01/Jan/15,14,4268.28,77
01/Jan/15,15,4269.752,77.01
01/Jan/15,16,4340.743,79.32
01/Jan/15,17,4464.849,89.24
01/Jan/15,18,4582.459,96.21
01/Jan/15,19,4666.894,120.68
01/Jan/15,20,4741.852,133.05
01/Jan/15,21,4805.299,80.94
01/Jan/15,22,4884.695,89.1
01/Jan/15,23,4907.547,89.36
01/Jan/15,24,4883.189,85.03
01/Jan/15,25,4870.003,85.54
01/Jan/15,26,4871.092,85.54
01/Jan/15,27,4871.822,85.52
01/Jan/15,28,4885.872,89.09
01/Jan/15,29,4888.422,89.36
01/Jan/15,30,4889.366,89.09
01/Jan/15,31,4893.675,93.82
01/Jan/15,32,4893.646,93.82
01/Jan/15,33,4863.363,90.28
01/Jan/15,34,4842.718,89.58
01/Jan/15,35,4853.239,90.37
01/Jan/15,36,4868.279,201.04
01/Jan/15,37,4907.323,211.98
01/Jan/15,38,5001.395,142.35
01/Jan/15,39,5088.281,164.51
01/Jan/15,40,5106.148,202.34
01/Jan/15,41,5118.215,202.98
01/Jan/15,42,5124.259,203.36
01/Jan/15,43,5082.252,201.2
01/Jan/15,44,4953.624,142.38
01/Jan/15,45,4815.83,101.87
01/Jan/15,46,4712.504,89.38
01/Jan/15,47,4621.444,172.09
01/Jan/15,48,4546.933,172.07
02/Jan/15,1,4497.209,141.79
02/Jan/15,2,4424.179,102.67
02/Jan/15,3,4321.44,89.25
02/Jan/15,4,4238.977,78.48
02/Jan/15,5,4191.807,76
02/Jan/15,6,4153.275,75.53
02/Jan/15,7,4121.988,74.77
02/Jan/15,8,4104.211,74.08
02/Jan/15,9,4100.389,70.93
02/Jan/15,10,4123.912,70.89
