Date,CCPOutage,STOutage,GTOutage,Ad-hoc
01-Jan-15,847.8,233,0,0
02-Jan-15,877.8,233,0,0
03-Jan-15,877.8,233,0,0
04-Jan-15,877.8,233,0,0
05-Jan-15,885.6,233,0,0
06-Jan-15,885.6,233,0,0
07-Jan-15,885.6,233,0,0
08-Jan-15,877.8,0,0,0
09-Jan-15,877.8,0,0,370
10-Jan-15,877.8,0,0,370
11-Jan-15,877.8,0,0,370
12-Jan-15,877.8,0,0,370
13-Jan-15,877.8,0,0,370
14-Jan-15,877.8,232,0,370
15-Jan-15,1242.8,232,0,370
16-Jan-15,1668.8,663,0,370
17-Jan-15,1668.8,663,0,0
18-Jan-15,1668.8,710.8,0,0
19-Jan-15,1668.8,710.8,0,0
20-Jan-15,1668.8,663,0,0
21-Jan-15,1668.8,663,0,0
22-Jan-15,1668.8,663,90,0
23-Jan-15,1668.8,663,90,0
24-Jan-15,1998.8,663,0,0
25-Jan-15,1668.8,663,0,0
26-Jan-15,1268.8,663,0,0
27-Jan-15,1268.8,663,0,0
28-Jan-15,1668.8,663,0,0
29-Jan-15,1668.8,663,0,0
30-Jan-15,1965,663,0,0
31-Jan-15,1605,663,0,0
01-Feb-15,774,663,0,0
02-Feb-15,774,663,0,0
03-Feb-15,774,663,0,0
04-Feb-15,774,663,0,0
05-Feb-15,410,663,0,0
06-Feb-15,778,232,0,0
07-Feb-15,410,232,0,368
08-Feb-15,410,232,0,368
09-Feb-15,410,232,0,368
10-Feb-15,410,232,0,0
11-Feb-15,0,232,0,0
12-Feb-15,0,232,0,0
13-Feb-15,400,232,0,0
14-Feb-15,400,232,0,0
15-Feb-15,0,279.8,0,0
16-Feb-15,0,279.8,0,0
17-Feb-15,67.8,279.8,0,0
18-Feb-15,67.8,297.8,0,0
19-Feb-15,67.8,297.8,0,0
20-Feb-15,410,297.8,0,0
21-Feb-15,410,297.8,0,0
22-Feb-15,520,297.8,0,0
23-Feb-15,520,297.8,0,0
24-Feb-15,520,297.8,0,0
25-Feb-15,520,297.8,0,0
26-Feb-15,520,297.8,0,0
27-Feb-15,520,297.8,0,0
28-Feb-15,520,297.8,0,370
01-Mar-15,930,297.8,0,0
02-Mar-15,520,297.8,0,0
03-Mar-15,527.8,297.8,0,0
04-Mar-15,520,297.8,0,0
05-Mar-15,520,297.8,0,0
06-Mar-15,520,297.8,0,0
07-Mar-15,520,297.8,0,0
08-Mar-15,885,297.8,0,0
09-Mar-15,520,297.8,0,0
10-Mar-15,520,297.8,0,0
11-Mar-15,520,297.8,0,0
12-Mar-15,520,297.8,0,0
13-Mar-15,890,297.8,0,0
14-Mar-15,520,297.8,0,0
15-Mar-15,520,297.8,0,0
16-Mar-15,925.9,297.8,0,0
