TRADING_DATE,PERIOD,REQUIREMENT,PRICE
01/Jan/15,1,193.377,0.21
01/Jan/15,2,196.866,0.18
01/Jan/15,3,188.95,0.18
01/Jan/15,4,189.223,0.18
01/Jan/15,5,190.48,0.08
01/Jan/15,6,191.395,0.08
01/Jan/15,7,193.081,0.13
01/Jan/15,8,177.889,0.05
01/Jan/15,9,167.228,0.05
01/Jan/15,10,162.847,0.03
01/Jan/15,11,163.637,0.03
01/Jan/15,12,169.505,0.05
01/Jan/15,13,183.975,0.05
01/Jan/15,14,191.599,0.08
01/Jan/15,15,191.553,0.29
01/Jan/15,16,189.271,0.11
01/Jan/15,17,186.283,0.08
01/Jan/15,18,182.587,0.13
01/Jan/15,19,198.615,0.46
01/Jan/15,20,208.203,0.35
01/Jan/15,21,217.66,2.58
01/Jan/15,22,230.863,6.1
01/Jan/15,23,230.126,4.88
01/Jan/15,24,230.41,4.88
01/Jan/15,25,231.333,4.88
01/Jan/15,26,231.299,4.88
01/Jan/15,27,231.275,4.88
01/Jan/15,28,230.823,4.88
01/Jan/15,29,230.74,4.88
01/Jan/15,30,230.711,4.88
01/Jan/15,31,230.575,4.88
01/Jan/15,32,230.577,4.88
01/Jan/15,33,231.701,5.69
01/Jan/15,34,232.364,5.99
01/Jan/15,35,232.028,5.99
01/Jan/15,36,201.045,0.29
01/Jan/15,37,198.786,0.13
01/Jan/15,38,227.272,5.99
01/Jan/15,39,224.476,4.88
01/Jan/15,40,225.871,5.99
01/Jan/15,41,225.484,5.99
01/Jan/15,42,225.29,5.99
01/Jan/15,43,226.641,5.99
01/Jan/15,44,228.814,5.99
01/Jan/15,45,233.244,5.99
01/Jan/15,46,236.562,6.66
01/Jan/15,47,229.659,5.99
01/Jan/15,48,224.565,6.1
02/Jan/15,1,184.411,0.05
02/Jan/15,2,186.757,0.05
02/Jan/15,3,190.058,0.05
02/Jan/15,4,192.704,0.05
02/Jan/15,5,194.22,0.05
02/Jan/15,6,184.59,0.05
02/Jan/15,7,159.416,0.02
02/Jan/15,8,144.512,0.02
02/Jan/15,9,142.593,0.02
02/Jan/15,10,138.1,0.02
02/Jan/15,11,137.446,0.02
02/Jan/15,12,141.399,0.02
02/Jan/15,13,136.876,0.02
02/Jan/15,14,151.66,0.02
02/Jan/15,15,189.742,0.04
02/Jan/15,16,209.907,0.05
02/Jan/15,17,198.066,0.04
02/Jan/15,18,221.667,0.08
02/Jan/15,19,219.456,0.08
02/Jan/15,20,216.69,0.07
02/Jan/15,21,218.902,0.08
02/Jan/15,22,216.349,0.05
02/Jan/15,23,215.472,0.05
02/Jan/15,24,216.565,0.07
02/Jan/15,25,218.078,0.46
02/Jan/15,26,212.834,0.08
02/Jan/15,27,213.972,0.08
02/Jan/15,28,211.25,0.08
02/Jan/15,29,215.422,0.13
02/Jan/15,30,212.978,0.08
02/Jan/15,31,213.425,0.08
02/Jan/15,32,213.634,0.08
02/Jan/15,33,213.534,0.08
02/Jan/15,34,211.573,0.08
02/Jan/15,35,215.585,0.19
02/Jan/15,36,214.693,0.13
02/Jan/15,37,214.835,0.13
02/Jan/15,38,218.535,0.37
02/Jan/15,39,212.007,0.08
02/Jan/15,40,191.894,0.04
02/Jan/15,41,201.018,0.05
02/Jan/15,42,216.758,0.46
02/Jan/15,43,217.98,0.08
02/Jan/15,44,221.791,0.13
02/Jan/15,45,230.386,0.46
02/Jan/15,46,234.936,1.2
02/Jan/15,47,224.037,0.13
02/Jan/15,48,206.399,0.08
03/Jan/15,1,186.135,0.05
03/Jan/15,2,188.75,0.08
03/Jan/15,3,181.221,0.08
03/Jan/15,4,182.405,0.05
03/Jan/15,5,186.353,0.08
03/Jan/15,6,180.368,0.08
03/Jan/15,7,178.007,0.41
03/Jan/15,8,178.782,0.41
03/Jan/15,9,178.812,0.46
03/Jan/15,10,174.005,0.32
03/Jan/15,11,175.67,0.41
03/Jan/15,12,186.719,1.79
03/Jan/15,13,188.535,0.08
03/Jan/15,14,185.298,0.08
03/Jan/15,15,181.17,0.05
03/Jan/15,16,178.824,0.09
03/Jan/15,17,242.38,8.88
03/Jan/15,18,240.384,8.88
03/Jan/15,19,238.079,8.88
03/Jan/15,20,234.769,1.91
03/Jan/15,21,232.125,1.85
03/Jan/15,22,230.719,1.85
03/Jan/15,23,230.624,1.7
03/Jan/15,24,232.032,1.79
03/Jan/15,25,233.59,1.85
03/Jan/15,26,234.67,1.85
03/Jan/15,27,235.221,1.85
03/Jan/15,28,235.532,1.85
