TRADING_DATE,PERIOD,REQUIREMENT,PRICE
01-Jan-15,1,126.36,78.18
01-Jan-15,2,119.43,78.18
01-Jan-15,3,101.67,45.25
01-Jan-15,4,135.7,98.28
01-Jan-15,5,110.93,58.18
01-Jan-15,6,67.62,1.02
01-Jan-15,7,55.95,0.01
01-Jan-15,8,55.17,0.01
01-Jan-15,9,51.72,0.01
01-Jan-15,10,58.12,0.01
01-Jan-15,11,60.92,1.02
01-Jan-15,12,73.1,2.01
01-Jan-15,13,91.54,20.01
01-Jan-15,14,81.46,12.02
01-Jan-15,15,93,20.01
01-Jan-15,16,82.06,12.02
01-Jan-15,17,94.09,20.01
01-Jan-15,18,108.12,58.51
01-Jan-15,19,111.38,73.55
01-Jan-15,20,109.73,77.51
01-Jan-15,21,110.26,45.25
01-Jan-15,22,109.65,45.25
01-Jan-15,23,98.75,12.06
01-Jan-15,24,91.15,7.75
01-Jan-15,25,102.89,15.25
01-Jan-15,26,90.92,8.24
01-Jan-15,27,96.85,12.02
01-Jan-15,28,96.75,12.02
01-Jan-15,29,98.22,12.02
01-Jan-15,30,100.24,15.25
01-Jan-15,31,105.79,20.01
01-Jan-15,32,111.26,45.25
01-Jan-15,33,107.72,20.01
01-Jan-15,34,106.71,20.01
01-Jan-15,35,90.28,9.89
01-Jan-15,36,96.8,15.25
01-Jan-15,37,103.29,38.66
01-Jan-15,38,99.93,20.01
01-Jan-15,39,98.69,15.25
01-Jan-15,40,97.88,15.25
01-Jan-15,41,80.36,8.16
01-Jan-15,42,79.93,8.16
01-Jan-15,43,83.51,8.05
01-Jan-15,44,83.73,6.25
01-Jan-15,45,84.97,12.02
01-Jan-15,46,97.21,15.25
01-Jan-15,47,106.37,45.25
01-Jan-15,48,102.05,20.01
02-Jan-15,1,126.36,73.55
02-Jan-15,2,119.43,58.18
02-Jan-15,3,101.67,20.01
02-Jan-15,4,135.7,78.18
02-Jan-15,5,110.93,55.73
02-Jan-15,6,67.62,0.01
02-Jan-15,7,55.95,0.01
02-Jan-15,8,55.17,1.02
02-Jan-15,9,51.72,0.01
02-Jan-15,10,58.12,1.02
02-Jan-15,11,60.92,2.01
02-Jan-15,12,73.1,4
02-Jan-15,13,91.54,20.01
02-Jan-15,14,81.46,2.67
02-Jan-15,15,93,20.01
02-Jan-15,16,82.06,2.01
02-Jan-15,17,94.09,20.01
02-Jan-15,18,108.12,23.99
02-Jan-15,19,111.38,23.99
02-Jan-15,20,109.73,22.88
02-Jan-15,21,110.26,22.88
02-Jan-15,22,109.65,22.88
02-Jan-15,23,98.75,22.88
02-Jan-15,24,91.15,12.02
02-Jan-15,25,102.89,22.88
02-Jan-15,26,90.92,46.99
02-Jan-15,27,96.85,50.05
02-Jan-15,28,96.75,22.88
02-Jan-15,29,98.22,22.88
02-Jan-15,30,100.24,22.88
02-Jan-15,31,105.79,22.88
02-Jan-15,32,111.26,23.99
02-Jan-15,33,107.72,22.88
02-Jan-15,34,106.71,22.88
02-Jan-15,35,90.28,12.02
02-Jan-15,36,96.8,22.88
02-Jan-15,37,103.29,22.88
02-Jan-15,38,99.93,22.88
02-Jan-15,39,98.69,22.88
02-Jan-15,40,97.88,22.88
02-Jan-15,41,80.36,1.02
02-Jan-15,42,79.93,1.02
02-Jan-15,43,83.51,23.99
02-Jan-15,44,83.73,2.01
02-Jan-15,45,84.97,12.02
02-Jan-15,46,97.21,22.88
02-Jan-15,47,106.37,22.88
02-Jan-15,48,102.05,58.18
03-Jan-15,1,126.36,78.18
03-Jan-15,2,119.43,20.01
03-Jan-15,3,101.67,20.01
03-Jan-15,4,135.7,101.02
03-Jan-15,5,110.93,11.12
03-Jan-15,6,67.62,7.12
03-Jan-15,7,55.95,11.12
03-Jan-15,8,55.17,20.01
03-Jan-15,9,51.72,11.12
03-Jan-15,10,58.12,20.01
03-Jan-15,11,60.92,20.01
03-Jan-15,12,73.1,72.12
03-Jan-15,13,91.54,78.18
03-Jan-15,14,81.46,20.01
03-Jan-15,15,93,58.18
03-Jan-15,16,82.06,14.68
