Date,From time,To time,Condition
2/1/2015,11:00,11:30,Outage of Paya Lebar I/Kaki Bukit 66kV Feeder No. 1 on 02 Jan 2015 at 1113Hrs was without Final Approval/Consent.
6/1/2015,19:00,20:30,Fuel changeover test of Generating Unit SNKCCP4 was carried out and completed on 06 Jan 2015 at the following timing. Gas to Gas : From 1905Hrs - 1910Hrs. Gas to Gas : From 2005Hrs - 2010Hrs.
6/1/2015,19:00,20:30,Fuel changeover test of Generating Unit SNKCCP4 is anticipated to carry out on 06 Jan 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
7/1/2015,19:00,20:00,Fuel changeover test of Generating Unit SER CCP3 is anticipated to carry out on 07 Jan 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
7/1/2015,19:00,20:30,Fuel changeover test of Generating Unit SER CCP3 was carried out and completed on  07 Jan 2015 at the following timing. Gas to Gas : From 1908Hrs - 1913Hrs. Gas to Gas : From 1956Hrs - 2001Hrs.
8/1/2015,08:00,08:30,Forced outage of generating unit ENV : TUAS : GENR1 at 0.4MW on 08 Jan 2015 at 08:22Hrs. 
8/1/2015,08:00,08:30,Forced outage of generating unit ENV : TUAS : GENR1 at 0.3MW on 08 Jan 2015 at 08:19Hrs. 
8/1/2015,16:00,23:30,Due to Outage of Jurong Island - Tembusu 230kV Feeder 1
9/1/2015,00:00,23:30,Due to Outage of Jurong Island - Tembusu 230kV Feeder 1
10/1/2015,00:00,23:30,Due to Outage of Jurong Island - Tembusu 230kV Feeder 1
10/1/2015,20:30,23:30,In view of the excess generation expected and to prevent severe overloading
11/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
11/1/2015,00:00,23:30,Due to Outage of Jurong Island - Tembusu 230kV Feeder 1
12/1/2015,00:00,23:30,Due to Outage of Jurong Island - Tembusu 230kV Feeder 1
12/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
12/1/2015,05:30,06:00,Forced outage of generating unit SNKCCP3 - CCPGT 3 at 25MW on 12 Jan 2015 at 05:35Hrs. 
13/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
13/1/2015,14:00,15:30,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 13 Jan 2015 from 1404Hrs to 1505Hrs.
13/1/2015,14:00,15:30,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 13 Jan 2015 from 1410Hrs to 1510Hrs.
13/1/2015,16:30,17:00,Forced outage of generating unit SHUL G1 at 6MW on 13 Jan 2015 at 16:47Hrs. 
13/1/2015,19:00,20:30,Fuel changeover test of Generating Unit SNKCCP6 was carried out and completed on 13 Jan 2015 at the following timing. Gas to Gas : From 1901Hrs - 1910Hrs. Gas to Gas : From 2011Hrs - 2019Hrs.
13/1/2015,19:00,20:30,Fuel changeover test of Generating Unit SNKCCP6 is anticipated to carry out on 13 Jan 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
14/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
14/1/2015,22:30,23:00,Forced outage of generating unit SHUL G1 at 35MW on 14 Jan 2015 at 22:55Hrs. 
15/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
15/1/2015,15:30,17:00,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 was carried out on 15 Jan 2015 from 1532Hrs to 1638Hrs.
15/1/2015,15:30,17:00,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 is anticipated to carry out on 15 Jan 2015 from 1540Hrs to 1640Hrs.
16/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
16/1/2015,08:30,23:30,Outage of Woodland Ave 8 230/66kV transformer No. 3 on 16 Jan 2015 at 0858Hrs was without Final Approval/Consent.
16/1/2015,20:00,21:30,Fuel changeover test of Generating Unit SNKCCP7 is anticipated to carry out on 16 Jan 2015 at the following timing. Gas to Gas : At about 2001Hrs. Gas to Gas : At about 2101Hrs.
16/1/2015,20:00,21:30,Fuel changeover test of Generating Unit SNKCCP7 was carried out and completed on 16 Jan 2015 at the following timing. Gas to Gas : From 2005Hrs - 2013Hrs. Gas to Gas : From 2105Hrs - 2113Hrs.
17/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
17/1/2015,19:00,19:30,High-Risk state commence at 19:01Hrs on 17 Jan 2015. There is a Contingency Reserve Shortfall.
17/1/2015,19:30,20:00,Emergency State commence at 19:31Hrs on 17 Jan 2015.  There is a Contingency Reserve Shortfall.
17/1/2015,20:30,21:00,Outage of Telok Blangah 66/22kV transformer No. 1 on 17 Jan 2015 at 2053Hrs was without Final Approval/Consent.
18/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
18/1/2015,03:30,04:00,Forced outage of generating unit KMCBLK3 at 265MW on 18 Jan 2015 at 03:37Hrs. 
18/1/2015,03:30,04:00,Activate scheduled contingency reserve from Load Facilities. Must deliver within 10 Minutes.
18/1/2015,04:00,04:30,Load interrupted can be restored with immediate effect.
18/1/2015,11:00,11:30,Forced outage of generating unit KMCBLK3 at 209MW on 18 Jan 2015 at 11:07Hrs. 
18/1/2015,11:30,12:00,High-Risk state commence at 11:31Hrs on 18 Jan 2015. There is an Contingency Reserve shortfall.
18/1/2015,12:00,12:30,Emergency operating state commence at 12:01Hrs on 18 Jan 2015. There is  Contingency Reserve shortfall.
19/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
19/1/2015,11:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
20/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
20/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
21/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
21/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
21/1/2015,03:30,04:00,Forced outage of Paya Lebar ll/Changi Airport 66kV Feeder No. 2 on 21 Jan 2015 at 0340Hrs.
22/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
22/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
23/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
23/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
23/1/2015,19:30,20:00,Forced outage of generating unit SERCCP1 at 280MW on 23 Jan 2015 at 19:31Hrs. 
24/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
24/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
24/1/2015,11:00,23:30,Outage of Generating Unit SER CCP1 on 24 Jan 2015 at 1101Hrs was without Final Approval/Consent.
24/1/2015,18:30,19:00,Forced outage of generating unit INC : SNKO : GENR 1 at 3MW on 24 Jan 2015 at 18:46Hrs. 
25/1/2015,00:00,23:30,Outage of Generating Unit SER CCP1 on 25 Jan 2015 at 0001Hrs was without Final Approval/Consent.
25/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
25/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
25/1/2015,01:30,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
26/1/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
26/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
26/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
26/1/2015,03:30,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
27/1/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
27/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
27/1/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
27/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
28/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
28/1/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
28/1/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
28/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
29/1/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
29/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
29/1/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
29/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
29/1/2015,08:30,09:00,Forced outage of generating unit SEMBCCP3 at 215MW on 29 Jan 2015 at 08:40Hrs. 
29/1/2015,10:00,10:30,Forced outage of generating unit SEMBCCP3 at 26MW on 29 Jan 2015 at 10:26Hrs. 
29/1/2015,19:00,20:00,Fuel changeover test of Generating Unit SER CCP4 was carried out and completed on 29 Jan 2015 at the following timing. 
29/1/2015,19:00,20:00,Fuel changeover test of Generating Unit SER CCP4 is anticipated to carry out on 29 Jan 2015 at the following timing. 
30/1/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
30/1/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
30/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
30/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
30/1/2015,14:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
31/1/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
31/1/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
31/1/2015,00:00,23:30,Outage of Generating Unit INC SNKO GENR1-ST2 on 25 Jan 2015 at 0131Hrs was without Final Approval/Consent.
31/1/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
31/1/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
31/1/2015,17:00,23:30,Outage of Generating Unit SKRA G1-GT11 on 31 Jan 2015 at 1727Hrs was without Final Approval/Consent.
1/2/2015,00:00,23:30,Outage of Yasin 66KV SMRT transformer No. 2 on 30 Jan 2015 at 1422Hrs was without Final Approval/Consent.
1/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
1/2/2015,00:00,23:30,Outage of Generating Unit SERCCP2 on 19 Jan 2015 at 1121Hrs was without Final Approval/Consent.
1/2/2015,00:00,23:30,Outage of Generating Unit SKRA G1-GT11 on 31 Jan 2015 at 1727Hrs was without Final Approval/Consent.
1/2/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
1/2/2015,08:30,23:30,Planned outage of remaining SPPG-TNB interconnection on 01 Feb 2015 at 0837Hrs.
2/2/2015,00:00,23:30,Planned outage of remaining SPPG-TNB interconnection on 01 Feb 2015 at 0837Hrs.
2/2/2015,00:00,23:30,Outage of Generating Unit SER CCP3 on 26 Jan 2015 at 0330Hrs was without Final Approval/Consent.
2/2/2015,00:00,23:30,In view of the excess generation expected and to prevent severe overloading
