Date,From time,To time,Name,Latitude,Longitude,Condition
1/11/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
1/11/2019,0:00,23:30,PacificLight Power ,1.286848,103.722708,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
1/11/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
1/11/2019,18:30,19:30,Keppel Merlimau Cogen ,1.282498,103.675245,Fuel changeover test of Generating Unit SERCCP2 is anticipated to carry out on 01 Nov 2019 at the following timing. Gas to Diesel : At about 1831Hrs. Diesel to Gas : At about 1901Hrs.
1/11/2019,18:30,19:30,Tuas Power Generation ,1.287521,103.640834,Fuel changeover test of Generating Unit SERCCP2 was carried out and completed on 01 Nov 2019 at the following timing. Gas to Diesel : From 1831Hrs - 1833Hrs. Diesel to Gas : From 1911Hrs - 1914Hrs.
2/11/2019,0:00,23:30,Shell Eastern Petroleum ,1.228974,103.767913,Outage of Generating Unit SNKCCP2 - CCPSTG 2 on 26 Oct 2019 at 0001Hrs was without Final Approval/Consent.
2/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Marina Centre 66/22kV 75MVA transformer No. 1 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
2/11/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
2/11/2019,18:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Outage of Generating Unit SERCCP2 on 02 Nov 2019 at 1801Hrs was without Final Approval/Consent.
2/11/2019,20:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Pulau Seraya 400kV - CB3-252 & CB3-352 on 02 Nov 2019 at 2011Hrs was without Final Approval/Consent.
3/11/2019,0:00,23:30,SembCorp Cogen ,1.256499,103.701611,Outage of Marina Centre 66/22kV 75MVA transformer No. 2 on 30 Oct 2019 at 2301Hrs was without Final Approval/Consent.
