date,price
11/3/14,84.9
11/4/14,82.12
11/5/14,82.88
11/6/14,82.08
11/7/14,83.2
11/10/14,82.9
11/11/14,80.94
11/12/14,80.42
11/13/14,77.74
11/14/14,77.51
11/17/14,76.86
11/18/14,77.23
11/19/14,77.21
11/20/14,77.61
11/21/14,79.2
11/24/14,79.62
11/25/14,77.62
11/26/14,77.39
11/27/14,77.39
11/28/14,71.89
12/1/14,70.87
12/2/14,71.13
12/3/14,70.13
12/4/14,68.48
12/5/14,68
12/8/14,65.64
12/9/14,66.11
12/10/14,63.32
12/11/14,63.65
12/12/14,61.67
12/15/14,61.09
12/16/14,60.26
12/17/14,59.84
12/18/14,58.81
12/19/14,58.87
12/22/14,58.31
12/23/14,59.07
12/24/14,58.67
12/25/14,58.67
12/26/14,58.72
12/29/14,57.86
12/30/14,55.6
12/31/14,55.27
