TRADING_DATE,ccgt_mc,steam_mc,capacity,capacity_ccgt,capacity_steam
1/1/13,145.536,206.356,12433.7705,9430.2,2555
2/1/13,147.89,211.955,12433.7705,9430.2,2555
3/1/13,151.981,219.502,12433.7705,9430.2,2555
4/1/13,157.496,206.366,12433.7705,9430.2,2555
5/1/13,147.832,201.676,12433.7705,9430.2,2555
6/1/13,144.41,203.886,12433.7705,9430.2,2555
7/1/13,146.014,206.6,12433.7705,9430.2,2555
8/1/13,148.045,203.833,12433.7705,9430.2,2555
9/1/13,146.003,211.331,12433.7705,9430.2,2555
10/1/13,151.497,210.296,12433.7705,9430.2,2555
11/1/13,150.766,208.058,12433.7705,9430.2,2555
12/1/13,149.157,203.223,12433.7705,9430.2,2555
1/1/14,145.604,210.766,12909.1,9892,2555
2/1/14,151.108,209.718,12909.1,9892,2555
3/1/14,150.316,208.545,12909.1,9892,2555
4/1/14,149.465,206.163,12909.1,9892,2555
5/1/14,147.707,201.52,12909.1,9892,2555
6/1/14,144.321,204.464,12909.1,9892,2555
7/1/14,146.488,208.737,12909.1,9892,2555
8/1/14,149.614,201.753,12909.1,9892,2555
9/1/14,144.504,201.079,12909.1,9892,2555
10/1/14,144.002,196.604,12909.1,9892,2555
11/1/14,140.689,168.711,12909.1,9892,2555
12/1/14,120.205,153.013,12909.1,9892,2555
1/1/15,108.662,127.851,13394.5,10355.5,2556.5
2/1/15,90.183,104.437,13394.5,10355.5,2556.5
3/1/15,72.962,134.475,13394.5,10355.5,2556.5
4/1/15,94.986,123.297,13394.5,10355.5,2556.5
5/1/15,86.934,129.523,13394.5,10355.5,2556.5
6/1/15,91.517,138.958,13394.5,10355.5,2556.5
7/1/15,98.455,133.893,13394.5,10355.5,2556.5
8/1/15,94.864,116.613,13394.5,10355.5,2556.5
9/1/15,82.227,96.899,13394.5,10355.5,2556.5
10/1/15,67.777,94.949,13394.5,10355.5,2556.5
11/1/15,66.544,96.187,13394.5,10355.5,2556.5
12/1/15,67.456,91.503,13394.5,10355.5,2556.5
1/1/16,64.038,72.763,13445,10355.5,2556.1
2/1/16,50.798,63.268,13445,10355.5,2556.1
3/1/16,43.863,63.648,13445,10355.5,2556.1
4/1/16,44.176,70.512,13445,10355.5,2556.1
5/1/16,49.736,74.751,13445,10355.5,2556.1
6/1/16,52.827,86.946,13445,10355.5,2556.1
7/1/16,61.572,92.012,13445,10355.5,2556.1
8/1/16,65.513,86.332,13445,10355.5,2556.1
9/1/16,61.442,97.242,13445,10355.5,2556.1
10/1/16,69.265,100.23,13445,10355.5,2556.1
11/1/16,71.472,109.003,13445,10355.5,2556.1
12/1/16,77.712,108.831,13445,10355.5,2556.1
1/1/17,77.549,129.343,13615.5,10508.2,2554.6
2/1/17,92.272,130.007,13615.5,10508.2,2554.6
3/1/17,92.753,126.015,13615.5,10508.2,2554.6
4/1/17,89.915,117.015,13615.5,10508.2,2554.6
5/1/17,83.485,120.802,13615.5,10508.2,2554.6
6/1/17,86.21,118.615,13615.5,10508.2,2554.6
7/1/17,84.645,113.201,13615.5,10508.2,2554.6
8/1/17,80.772,114.149,13615.5,10508.2,2554.6
9/1/17,81.478,115.836,13615.5,10508.2,2554.6
10/1/17,82.709,122.86,13615.5,10508.2,2554.6
11/1/17,87.757,126.602,13615.5,10508.2,2554.6
12/1/17,90.421,137.095,13615.5,10508.2,2554.6
1/1/18,97.947,135.419,13649.41,10501.31,2554.6
2/1/18,96.765,138.681,13649.41,10501.31,2554.6
3/1/18,99.121,134.196,13649.41,10501.31,2554.6
4/1/18,95.931,133.683,13649.41,10501.31,2554.6
5/1/18,95.588,142.787,13649.41,10501.31,2554.6
6/1/18,102.093,161.163,13649.41,10501.31,2554.6
7/1/18,115.225,164.756,13649.41,10501.31,2554.6
8/1/18,117.8,169.512,13649.41,10501.31,2554.6
9/1/18,121.175,167.141,13649.41,10501.31,2554.6
10/1/18,119.486,171.118,13649.41,10501.31,2554.6
11/1/18,122.334,186.366,13649.41,10501.31,2554.6
12/1/18,133.213,165.928,13649.41,10501.31,2554.6
1/1/19,118.603,138.02,13667.01,10501.31,2554.6
2/1/19,97.213,139.711,13667.01,10501.31,2554.6
3/1/19,98.423,153.325,13667.01,10501.31,2554.6
4/1/19,108.045,158.634,13667.01,10501.31,2554.6
5/1/19,111.776,160.309,13667.01,10501.31,2554.6
6/1/19,112.957,156.505,13667.01,10501.31,2554.6
7/1/19,110.265,144.21,13667.01,10501.31,2554.6
8/1/19,101.598,159.267,13667.01,10501.31,2554.6
9/1/19,112.216,134.866,13667.01,10501.31,2554.6
10/1/19,94.976,150.368,13667.01,10501.31,2554.6
11/1/19,105.921,114.937,13667.01,10501.31,2554.6
12/1/19,80.938,95.629,13667.01,10501.31,2554.6
