date,price
12/31/19,1.3452
12/30/19,1.3488
12/29/19,1.3524
12/28/19,1.352
12/27/19,1.3521
12/26/19,1.354
12/25/19,1.355
12/24/19,1.3555
12/23/19,1.3555
12/22/19,1.355
12/21/19,1.3552
12/20/19,1.355
12/19/19,1.3551
12/18/19,1.3554
12/17/19,1.3553
12/16/19,1.3548
12/15/19,1.3544
12/14/19,1.3538
12/13/19,1.3538
12/12/19,1.3535
12/11/19,1.3573
12/10/19,1.3586
12/9/19,1.3601
12/8/19,1.3603
12/7/19,1.3603
12/6/19,1.3608
12/5/19,1.3606
12/4/19,1.3632
12/3/19,1.3641
12/2/19,1.3664
12/1/19,1.3675
11/30/19,1.3678
11/29/19,1.3678
11/28/19,1.3658
11/27/19,1.365
11/26/19,1.3642
11/25/19,1.3648
11/24/19,1.3643
11/23/19,1.3644
11/22/19,1.3645
11/21/19,1.3631
11/20/19,1.3619
11/19/19,1.3605
11/18/19,1.3598
11/17/19,1.3606
11/16/19,1.3603
11/15/19,1.3604
11/14/19,1.3622
11/13/19,1.3628
11/12/19,1.3622
11/11/19,1.3609
11/10/19,1.3597
11/9/19,1.3595
11/8/19,1.3595
11/7/19,1.3575
11/6/19,1.3599
11/5/19,1.359
11/4/19,1.3589
11/3/19,1.3573
11/2/19,1.3578
11/1/19,1.3581
10/31/19,1.3606
10/30/19,1.3614
10/29/19,1.3622
10/28/19,1.3624
10/27/19,1.3633
10/26/19,1.3634
10/25/19,1.3632
10/24/19,1.3632
10/23/19,1.362
10/22/19,1.3632
10/21/19,1.3612
10/20/19,1.3642
10/19/19,1.3641
10/18/19,1.3641
10/17/19,1.3646
10/16/19,1.3701
10/15/19,1.3707
10/14/19,1.3685
10/13/19,1.3721
10/12/19,1.3728
10/11/19,1.3728
10/10/19,1.3757
10/9/19,1.3809
10/8/19,1.3825
10/7/19,1.3811
10/6/19,1.3793
10/5/19,1.3788
10/4/19,1.3786
10/3/19,1.3803
10/2/19,1.3842
10/1/19,1.3852
9/30/19,1.3817
9/29/19,1.3817
9/28/19,1.3816
9/27/19,1.3816
9/26/19,1.3817
9/25/19,1.3786
9/24/19,1.3755
9/23/19,1.3773
9/22/19,1.3773
9/21/19,1.3773
9/20/19,1.3773
9/19/19,1.3789
9/18/19,1.3758
9/17/19,1.374
9/16/19,1.3755
9/15/19,1.3741
9/14/19,1.3735
9/13/19,1.3734
9/12/19,1.3755
9/11/19,1.3794
9/10/19,1.3795
9/9/19,1.3797
9/8/19,1.3813
9/7/19,1.3813
9/6/19,1.3813
9/5/19,1.3841
9/4/19,1.3843
9/3/19,1.3904
9/2/19,1.3908
9/1/19,1.3893
8/31/19,1.3876
8/30/19,1.3875
8/29/19,1.3881
8/28/19,1.3886
8/27/19,1.3894
8/26/19,1.3884
8/25/19,1.3899
8/24/19,1.3871
8/23/19,1.3871
8/22/19,1.3855
8/21/19,1.3836
8/20/19,1.3852
8/19/19,1.3867
8/18/19,1.3849
8/17/19,1.3845
8/16/19,1.3845
8/15/19,1.3891
8/14/19,1.3901
8/13/19,1.3836
8/12/19,1.3869
8/11/19,1.3855
8/10/19,1.3857
8/9/19,1.3857
8/8/19,1.3831
8/7/19,1.3821
8/6/19,1.3815
8/5/19,1.3847
8/4/19,1.3771
8/3/19,1.3768
8/2/19,1.3768
8/1/19,1.377
7/31/19,1.3743
7/30/19,1.3707
7/29/19,1.3702
7/28/19,1.3689
7/27/19,1.37
7/26/19,1.3695
7/25/19,1.3677
7/24/19,1.3646
7/23/19,1.3656
7/22/19,1.3607
7/21/19,1.3602
7/20/19,1.3604
7/19/19,1.3604
7/18/19,1.3565
7/17/19,1.3613
7/16/19,1.3585
7/15/19,1.3561
7/14/19,1.3584
7/13/19,1.3574
7/12/19,1.3574
7/11/19,1.3571
7/10/19,1.3581
7/9/19,1.3616
7/8/19,1.3594
7/7/19,1.36
7/6/19,1.3595
7/5/19,1.3597
7/4/19,1.3557
7/3/19,1.3566
7/2/19,1.3562
7/1/19,1.356
6/30/19,1.3522
6/29/19,1.3528
6/28/19,1.3528
6/27/19,1.3537
6/26/19,1.3547
6/25/19,1.3549
6/24/19,1.3535
6/23/19,1.3551
6/22/19,1.3552
6/21/19,1.3552
6/20/19,1.3556
6/19/19,1.3628
6/18/19,1.3667
6/17/19,1.3705
6/16/19,1.3714
6/15/19,1.3712
6/14/19,1.3712
6/13/19,1.3666
6/12/19,1.3668
6/11/19,1.364
6/10/19,1.3658
6/9/19,1.3625
6/8/19,1.3619
6/7/19,1.3618
6/6/19,1.3643
6/5/19,1.3672
6/4/19,1.3664
6/3/19,1.3666
6/2/19,1.3759
6/1/19,1.3739
5/31/19,1.3739
5/30/19,1.3792
5/29/19,1.3812
