month,capacity
2020-01,10180
2020-02,10180
2020-03,10180
2020-04,10180
2020-05,10180
2020-06,10180
2020-07,10180
2020-08,10180
2020-09,10180
2020-10,10180
2020-11,10180
2020-12,10180
2021-01,9780
2021-02,9780
2021-03,9780
2021-04,9780
2021-05,9780
2021-06,9780
2021-07,9780
2021-08,9780
2021-09,9780
2021-10,9780
2021-11,9780
2021-12,9780
2022-01,9830
2022-02,9830
2022-03,9830
2022-04,9830
2022-05,9830
2022-06,9830
2022-07,9830
2022-08,9830
2022-09,9830
2022-10,9830
2022-11,9830
2022-12,9830
2023-01,9860
2023-02,9860
2023-03,9860
2023-04,9860
2023-05,9860
2023-06,9860
2023-07,9860
2023-08,9860
2023-09,9860
2023-10,9860
2023-11,9860
2023-12,9860
2024-01,
2024-02,
2024-03,
2024-04,
2024-05,
2024-06,
2024-07,
2024-08,
2024-09,
2024-10,
2024-11,
2024-12,
2025-01,
2025-02,
2025-03,
