TRADING_DATE,PERIOD,DEMAND,USEP
1-Jul-13,1,4827.664,154.26
1-Jul-13,2,4717.718,137.05
1-Jul-13,3,4621.24,135.37
1-Jul-13,4,4549.662,133.82
1-Jul-13,5,4498.784,133.14
1-Jul-13,6,4443.16,132.99
1-Jul-13,7,4408.599,132.82
1-Jul-13,8,4388.366,115.64
1-Jul-13,9,4371.199,111.67
1-Jul-13,10,4378.416,108.88
1-Jul-13,11,4427.042,108.89
1-Jul-13,12,4527.794,108.83
1-Jul-13,13,4697.555,111.6
1-Jul-13,14,4915.042,118.46
1-Jul-13,15,5156.947,137.04
1-Jul-13,16,5413.597,147.1
1-Jul-13,17,5673.946,154.44
1-Jul-13,18,5906.154,187.84
1-Jul-13,19,6083.171,169.62
1-Jul-13,20,6212.51,199.75
1-Jul-13,21,6284.893,208.12
1-Jul-13,22,6328.351,218.37
1-Jul-13,23,6335.035,209.94
1-Jul-13,24,6284.898,199.72
1-Jul-13,25,6219.195,187.84
1-Jul-13,26,6215.616,165.83
1-Jul-13,27,6284.197,176.55
1-Jul-13,28,6343.961,300.76
1-Jul-13,29,6357.346,288.18
1-Jul-13,30,6360.422,287.18
1-Jul-13,31,6350.413,282.16
1-Jul-13,32,6336.218,240.16
1-Jul-13,33,6316.284,227.31
1-Jul-13,34,6279.401,202.58
1-Jul-13,35,6157.07,165.85
1-Jul-13,36,5992.632,156.16
1-Jul-13,37,5881.24,154.43
1-Jul-13,38,5930.577,154.45
1-Jul-13,39,5993.552,167.62
1-Jul-13,40,5976.37,166.78
1-Jul-13,41,5953.31,167.65
1-Jul-13,42,5940.477,199.77
1-Jul-13,43,5889.872,222.89
1-Jul-13,44,5778.897,293.14
1-Jul-13,45,5642.64,265.56
1-Jul-13,46,5505.756,240.08
1-Jul-13,47,5368.445,211.95
1-Jul-13,48,5265.278,192.32
2-Jul-13,1,5116.868,180.3
2-Jul-13,2,4977.51,170.27
2-Jul-13,3,4801.189,170.07
2-Jul-13,4,4724.472,167.22
2-Jul-13,5,4686.675,167.19
2-Jul-13,6,4670.08,160.09
2-Jul-13,7,4647.984,160.31
2-Jul-13,8,4628.392,159.98
2-Jul-13,9,4608.353,160.02
2-Jul-13,10,4615.087,160.02
2-Jul-13,11,4653.784,160.42
2-Jul-13,12,4750.063,169.17
2-Jul-13,13,4908.67,207.83
2-Jul-13,14,5098.937,228.21
2-Jul-13,15,5293.999,259.42
2-Jul-13,16,5550.69,290.08
2-Jul-13,17,5751.667,285.07
2-Jul-13,18,5957.902,300.67
2-Jul-13,19,6153.273,351.21
2-Jul-13,20,6312.78,394.07
2-Jul-13,21,6392.792,351.13
2-Jul-13,22,6446.16,401.61
2-Jul-13,23,6426.081,351.17
2-Jul-13,24,6383.051,351.15
2-Jul-13,25,6332.352,300.71
2-Jul-13,26,6302.015,294.46
2-Jul-13,27,6296.642,288.22
2-Jul-13,28,6363.464,294.41
2-Jul-13,29,6382.887,298.47
2-Jul-13,30,6318.769,287.14
2-Jul-13,31,6274.64,282.97
2-Jul-13,32,6265.709,281.94
2-Jul-13,33,6255.709,276.81
2-Jul-13,34,6227.927,240.19
2-Jul-13,35,6132.309,212.99
2-Jul-13,36,5952.246,168.79
2-Jul-13,37,5850.316,157.08
2-Jul-13,38,5846.648,155.39
2-Jul-13,39,5891.095,169.39
2-Jul-13,40,5902.461,173.05
2-Jul-13,41,5894.485,232.99
2-Jul-13,42,5846.445,278.77
2-Jul-13,43,5771.999,199.75
2-Jul-13,44,5662.724,176.62
