,TRADING_DATE,PERIOD,DEMAND,USEP,holiday
0,2015-01-01,1,4498.58,90.46,1
1,2015-01-01,2,4452.31,89.45,1
2,2015-01-01,3,4409.8859999999995,89.24,1
3,2015-01-01,4,4373.47,88.88,1
4,2015-01-01,5,4334.3859999999995,84.84,1
5,2015-01-01,6,4274.687,79.12,1
6,2015-01-01,7,4222.164000000001,76.99,1
7,2015-01-01,8,4187.433,76.06,1
8,2015-01-01,9,4159.184,75.63,1
9,2015-01-01,10,4149.15,75.54,1
10,2015-01-01,11,4153.404,75.54,1
11,2015-01-01,12,4185.768,75.57,1
12,2015-01-01,13,4235.880999999999,76.07,1
13,2015-01-01,14,4268.28,77.0,1
14,2015-01-01,15,4269.752,77.01,1
15,2015-01-01,16,4340.7429999999995,79.32,1
16,2015-01-01,17,4464.849,89.24,1
17,2015-01-01,18,4582.459,96.21,1
18,2015-01-01,19,4666.894,120.68,1
19,2015-01-01,20,4741.852,133.05,1
20,2015-01-01,21,4805.299,80.94,1
21,2015-01-01,22,4884.695,89.1,1
22,2015-01-01,23,4907.5470000000005,89.36,1
23,2015-01-01,24,4883.189,85.03,1
24,2015-01-01,25,4870.003,85.54,1
25,2015-01-01,26,4871.092000000001,85.54,1
26,2015-01-01,27,4871.822,85.52,1
27,2015-01-01,28,4885.872,89.09,1
28,2015-01-01,29,4888.4220000000005,89.36,1
29,2015-01-01,30,4889.366,89.09,1
30,2015-01-01,31,4893.675,93.82,1
31,2015-01-01,32,4893.646,93.82,1
32,2015-01-01,33,4863.363,90.28,1
33,2015-01-01,34,4842.718,89.58,1
34,2015-01-01,35,4853.2390000000005,90.37,1
35,2015-01-01,36,4868.279,201.04,1
36,2015-01-01,37,4907.323,211.98,1
37,2015-01-01,38,5001.395,142.35,1
38,2015-01-01,39,5088.281,164.51,1
39,2015-01-01,40,5106.148,202.34,1
40,2015-01-01,41,5118.215,202.98,1
41,2015-01-01,42,5124.259,203.36,1
42,2015-01-01,43,5082.252,201.2,1
43,2015-01-01,44,4953.624,142.38,1
44,2015-01-01,45,4815.83,101.87,1
45,2015-01-01,46,4712.504,89.38,1
46,2015-01-01,47,4621.444,172.09,1
47,2015-01-01,48,4546.933,172.07,1
48,2015-01-02,1,4497.209,141.79,0
49,2015-01-02,2,4424.179,102.67,0
50,2015-01-02,3,4321.44,89.25,0
51,2015-01-02,4,4238.977,78.48,0
52,2015-01-02,5,4191.807,76.0,0
53,2015-01-02,6,4153.275,75.53,0
54,2015-01-02,7,4121.988,74.77,0
55,2015-01-02,8,4104.210999999999,74.08,0
56,2015-01-02,9,4100.389,70.93,0
57,2015-01-02,10,4123.912,70.89,0
58,2015-01-02,11,4193.855,70.38,0
59,2015-01-02,12,4326.106,73.98,0
60,2015-01-02,13,4489.943,74.78,0
61,2015-01-02,14,4627.299,77.91,0
62,2015-01-02,15,4832.207,74.81,0
63,2015-01-02,16,5234.085999999999,77.21,0
64,2015-01-02,17,5633.8730000000005,108.53,0
65,2015-01-02,18,5817.753000000001,77.24,0
66,2015-01-02,19,5855.53,84.38,0
67,2015-01-02,20,5941.71,85.4,0
68,2015-01-02,21,5872.815,77.26,0
69,2015-01-02,22,5952.4,85.4,0
70,2015-01-02,23,5979.745,85.43,0
71,2015-01-02,24,5945.72,84.4,0
72,2015-01-02,25,5898.769,79.34,0
73,2015-01-02,26,5890.618,77.32,0
74,2015-01-02,27,5929.036,77.33,0
75,2015-01-02,28,5973.4980000000005,77.34,0
76,2015-01-02,29,5981.355,77.34,0
77,2015-01-02,30,5948.687,76.25,0
78,2015-01-02,31,5934.349,76.25,0
79,2015-01-02,32,5928.315,76.25,0
80,2015-01-02,33,5908.445,76.25,0
81,2015-01-02,34,5867.96,76.08,0
82,2015-01-02,35,5790.025,76.15,0
83,2015-01-02,36,5694.401999999999,76.09,0
84,2015-01-02,37,5633.306,76.05,0
85,2015-01-02,38,5632.874,76.19,0
86,2015-01-02,39,5618.227,75.49,0
87,2015-01-02,40,5590.215999999999,75.54,0
88,2015-01-02,41,5550.541,75.9,0
89,2015-01-02,42,5492.476,80.47,0
90,2015-01-02,43,5407.807,87.39,0
91,2015-01-02,44,5289.133000000001,79.38,0
92,2015-01-02,45,5138.791,80.38,0
93,2015-01-02,46,4997.170999999999,79.34,0
94,2015-01-02,47,4878.621,76.26,0
95,2015-01-02,48,4650.17,75.33,0
96,2015-01-03,1,4444.585999999999,76.24,0
97,2015-01-03,2,4363.148,74.03,0
98,2015-01-03,3,4364.067,74.03,0
99,2015-01-03,4,4327.175,71.24,0
100,2015-01-03,5,4282.639,71.24,0
101,2015-01-03,6,4243.276,70.84,0
102,2015-01-03,7,4198.969,70.95,0
103,2015-01-03,8,4172.981,70.94,0
104,2015-01-03,9,4172.146,70.93,0
105,2015-01-03,10,4188.885,70.95,0
106,2015-01-03,11,4219.465,71.47,0
107,2015-01-03,12,4285.919,73.3,0
108,2015-01-03,13,4367.67,74.0,0
109,2015-01-03,14,4468.358,77.15,0
110,2015-01-03,15,4596.960999999999,81.3,0
111,2015-01-03,16,4788.192,91.68,0
112,2015-01-03,17,4986.679,80.26,0
113,2015-01-03,18,5150.813,83.82,0
114,2015-01-03,19,5277.130999999999,95.65,0
115,2015-01-03,20,5380.243,132.57,0
116,2015-01-03,21,5462.5419999999995,152.52,0
117,2015-01-03,22,5506.3369999999995,243.42,0
118,2015-01-03,23,5509.359,213.12,0
119,2015-01-03,24,5465.588000000001,152.51,0
120,2015-01-03,25,5417.195,122.23,0
121,2015-01-03,26,5383.683000000001,112.18,0
122,2015-01-03,27,5366.501,120.76,0
123,2015-01-03,28,5356.666,110.2,0
124,2015-01-03,29,5337.432,101.66,0
125,2015-01-03,30,5304.834,94.91,0
126,2015-01-03,31,5271.7480000000005,94.06,0
127,2015-01-03,32,5212.123,86.61,0
128,2015-01-03,33,5185.28,83.55,0
129,2015-01-03,34,5149.561,83.48,0
130,2015-01-03,35,5126.848,81.07,0
131,2015-01-03,36,5096.585999999999,80.76,0
132,2015-01-03,37,5109.478,81.59,0
133,2015-01-03,38,5194.295999999999,84.83,0
134,2015-01-03,39,5257.276,98.79,0
135,2015-01-03,40,5255.1630000000005,98.78,0
136,2015-01-03,41,5239.135,97.13,0
137,2015-01-03,42,5228.872,90.89,0
138,2015-01-03,43,5192.044,84.91,0
139,2015-01-03,44,5106.839,81.61,0
140,2015-01-03,45,5016.151,80.51,0
141,2015-01-03,46,4933.768,80.3,0
142,2015-01-03,47,4841.63,79.46,0
143,2015-01-03,48,4644.837,81.62,0
144,2015-01-04,1,4461.932,77.24,0
145,2015-01-04,2,4371.786,73.36,0
146,2015-01-04,3,4355.130999999999,76.06,0
147,2015-01-04,4,4307.936,73.24,0
148,2015-01-04,5,4264.036,72.5,0
149,2015-01-04,6,4229.201,73.17,0
150,2015-01-04,7,4205.657999999999,72.39,0
151,2015-01-04,8,4181.474,72.23,0
152,2015-01-04,9,4162.857,72.23,0
153,2015-01-04,10,4162.236,72.23,0
154,2015-01-04,11,4186.708,72.23,0
155,2015-01-04,12,4233.883,73.24,0
156,2015-01-04,13,4286.292,73.29,0
157,2015-01-04,14,4318.607,73.31,0
158,2015-01-04,15,4343.954000000001,73.31,0
159,2015-01-04,16,4430.829000000001,76.06,0
160,2015-01-04,17,4566.073,79.27,0
161,2015-01-04,18,4686.5109999999995,80.56,0
162,2015-01-04,19,4792.645,80.69,0
163,2015-01-04,20,4882.14,81.62,0
164,2015-01-04,21,4958.762,79.24,0
165,2015-01-04,22,5013.805,80.03,0
166,2015-01-04,23,5036.061,80.17,0
167,2015-01-04,24,5021.389,79.34,0
168,2015-01-04,25,5006.713,79.34,0
169,2015-01-04,26,5019.983,79.35,0
170,2015-01-04,27,5036.24,79.33,0
171,2015-01-04,28,5042.487,79.35,0
172,2015-01-04,29,5039.0779999999995,79.35,0
173,2015-01-04,30,5027.229,79.33,0
174,2015-01-04,31,5023.601,80.18,0
175,2015-01-04,32,4986.475,79.35,0
176,2015-01-04,33,4995.267,79.34,0
177,2015-01-04,34,5008.294,80.18,0
178,2015-01-04,35,5021.484,80.21,0
179,2015-01-04,36,5027.458,101.89,0
180,2015-01-04,37,5059.748,122.18,0
181,2015-01-04,38,5160.8820000000005,81.46,0
182,2015-01-04,39,5262.786999999999,87.82,0
183,2015-01-04,40,5313.74,113.45,0
184,2015-01-04,41,5311.005999999999,113.46,0
185,2015-01-04,42,5282.026,102.04,0
186,2015-01-04,43,5255.193,102.03,0
187,2015-01-04,44,5183.093,82.72,0
188,2015-01-04,45,5086.505999999999,82.7,0
189,2015-01-04,46,4969.795999999999,80.64,0
190,2015-01-04,47,4851.7390000000005,133.29,0
191,2015-01-04,48,4750.887,110.1,0
192,2015-01-05,1,4652.2970000000005,81.44,0
193,2015-01-05,2,4543.499,79.09,0
194,2015-01-05,3,4441.609,76.07,0
195,2015-01-05,4,4391.278,74.03,0
196,2015-01-05,5,4336.657999999999,73.99,0
197,2015-01-05,6,4290.104,72.45,0
198,2015-01-05,7,4252.420999999999,72.45,0
199,2015-01-05,8,4236.015,72.24,0
200,2015-01-05,9,4240.622,71.17,0
201,2015-01-05,10,4285.024,71.17,0
202,2015-01-05,11,4378.898,74.01,0
203,2015-01-05,12,4540.771,79.01,0
204,2015-01-05,13,4702.838,80.13,0
205,2015-01-05,14,4897.667,93.9,0
206,2015-01-05,15,5133.722,79.26,0
207,2015-01-05,16,5430.033,80.62,0
208,2015-01-05,17,5688.389,81.47,0
209,2015-01-05,18,5870.773,77.24,0
210,2015-01-05,19,5984.929,79.34,0
211,2015-01-05,20,6064.439,79.39,0
212,2015-01-05,21,6139.948,80.5,0
