month,value
2013-01,93.686
2013-02,83.928
2013-03,105.576
2013-04,103.702
2013-05,103.589
2013-06,107.342
2013-07,104.554
2013-08,98.839
2013-09,107.994
2013-10,104.056
2013-11,101.973
2013-12,116.568
2014-01,97.002
2014-02,94.915
2014-03,118.443
2014-04,109.213
2014-05,101.606
2014-06,108.132
2014-07,107.32
2014-08,102.619
2014-09,106.744
2014-10,104.389
2014-11,100.008
2014-12,114.468
2015-01,99.076
2015-02,91.808
2015-03,106.118
2015-04,99.697
2015-05,100.364
2015-06,105.237
2015-07,100.813
2015-08,97.8
2015-09,100.024
2015-10,100.978
2015-11,97.226
2015-12,100.86
2016-01,100.291
2016-02,88.727
2016-03,106.889
2016-04,102.963
2016-05,100.772
2016-06,106.379
2016-07,97.488
2016-08,98.773
2016-09,107.881
2016-10,102.199
2016-11,108.577
2016-12,123.469
2017-01,104.309
2017-02,97.707
2017-03,118.852
2017-04,109.832
2017-05,105.776
2017-06,121.048
2017-07,120.197
2017-08,119.035
2017-09,123.645
2017-10,117.82
2017-11,115.186
2017-12,120.498
2018-01,123.436
2018-02,102.821
2018-03,126.763
2018-04,121.778
2018-05,119.534
2018-06,130.988
2018-07,128.218
2018-08,122.993
2018-09,124.24
2018-10,123.946
2018-11,123.052
2018-12,122.703
2019-01,125.39
2019-02,106.134
2019-03,121.667
2019-04,121.993
2019-05,118.054
2019-06,122.034
2019-07,131.173
2019-08,116.099
2019-09,125.422
2019-10,127.444
2019-11,112.047
2019-12,121.793
