month,price
11/1/19,1.36167
12/1/19,1.356504
1/1/20,1.350979
2/1/20,1.3897
3/1/20,1.424
4/1/20,1.4
5/1/20,1.45169
6/1/20,1.45059
7/1/20,1.4457
8/1/20,1.45762
9/1/20,1.46028
10/1/20,1.45677
11/1/20,1.46915
12/1/20,1.4681
1/1/21,1.46971
2/1/21,1.47165
3/1/21,1.46337
4/1/21,1.45079
5/1/21,1.46406
6/1/21,1.46269
7/1/21,1.45791
8/1/21,1.46982
9/1/21,1.47241
10/1/21,1.46914
11/1/21,1.48134
12/1/21,1.48041
1/1/22,1.48203
2/1/22,1.48398
3/1/22,1.4757
4/1/22,1.46303
5/1/22,1.47623
6/1/22,1.47486
7/1/22,1.4703
8/1/22,1.48199
9/1/22,1.4847
10/1/22,1.48138
11/1/22,1.4935
12/1/22,1.49267
1/1/23,1.49416
2/1/23,1.49611
3/1/23,1.48818
4/1/23,1.47545
5/1/23,1.48838
6/1/23,1.48719
7/1/23,1.48255
8/1/23,1.49424
9/1/23,1.49695
10/1/23,1.49342
11/1/23,1.50573
12/1/23,1.50511
1/1/24,1.50627
2/1/24,1.50817
3/1/24,1.50026
4/1/24,1.48783
5/1/24,1.50055
6/1/24,1.49975
7/1/24,1.4948
8/1/24,1.50644
9/1/24,1.50965
10/1/24,1.50576
11/1/24,1.51797
12/1/24,1.51743
1/1/25,1.51856
2/1/25,1.52051
3/1/25,1.51686
