DATE,PERIOD,DEMAND,USEP,TRADING_DATE_Year,TRADING_DATE_Month,TRADING_DATE_Week,TRADING_DATE_day,TRADING_DATE_day_name,USEP_wk_1,wkdy_per_trnd,wk_per_trnd,temp_mean,temp_min,temp_max,month_USEP,Elect_Gtrends,Elect_Gtrends_1,holiday,Advisory_forced_outage,Advisory_outage_without_approval,Advisory_emergency_operating,Advisory_high_risk,Advisory_fuel_change,Advisory_others,reg_wkdy_per_trnd,cont_wkdy_per_trnd,prim_wkdy_per_trnd,PeakDemand,ols_mod,decision,ensemble_1,ensemble_2
08/11/2019,1,5711.584,82.69,2019,11,45,4,Friday,68.9,0.018935411,0.002727041,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.018694851,0.020688237,0.022353132,0,52.8713198,74.22,63.5456599,74.22
08/11/2019,2,5593.198,81.19,2019,11,45,4,Friday,68.88,0.01856526,0.002673733,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.016749384,0.020269976,0.02187971,0,51.46120429,74.2,62.83060215,74.2
08/11/2019,3,5516.76,78.98,2019,11,45,4,Friday,68.67,0.018309425,0.002636888,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.015653911,0.020092068,0.021745917,0,50.24205743,74.2,62.22102872,74.2
08/11/2019,4,5447.533,76.99,2019,11,45,4,Friday,67.75,0.018063693,0.002601498,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.015273167,0.019764851,0.021722778,0,49.41489516,70.91,60.16244758,70.91
08/11/2019,5,5386.501,75.23,2019,11,45,4,Friday,67.49,0.017872826,0.00257401,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.015132893,0.019493349,0.021688987,0,48.81056518,70.4,59.60528259,70.4
08/11/2019,6,5347.079,75.41,2019,11,45,4,Friday,65.6,0.017707528,0.002550204,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.015172971,0.019268049,0.021732685,0,48.26557057,70.4,59.33278529,70.4
08/11/2019,7,5310.902,75.22,2019,11,45,4,Friday,65.43,0.017580603,0.002531924,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.015139573,0.019235309,0.021689061,0,47.5386042,69.19,58.3643021,69.19
08/11/2019,8,5269.547,73.95,2019,11,45,4,Friday,65.33,0.017500731,0.002520421,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.014782208,0.01914385,0.021659728,0,47.2369774,69.19,58.2134887,69.19
08/11/2019,9,5247.316,73.85,2019,11,45,4,Friday,65.33,0.017474233,0.002516605,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.014444882,0.019112811,0.021688668,0,47.13844517,69.19,58.16422259,69.19
08/11/2019,10,5281.052,73.94,2019,11,45,4,Friday,65.34,0.017531256,0.002524818,24.12083333,22.7,26.5,88.7948125,24,26,1,0,0,0,0,0,0,0.014927492,0.019135288,0.021740105,0,47.44796261,69.19,58.3189813,69.19
